id,name,symbol,price,volume_24h,market_cap,Timestamp,Datetime,Symbol,High,Open,Low,Close
1,Bitcoin,BTC,93701.6682715041,95718528827.43149,1854147528881.1619,1732661752712.729,2024-11-26 22:45:52.845798,BTC,93701.6682715041,93701.6682715041,93701.6682715041,93701.6682715041
1027,Ethereum,ETH,3326.985860552579,44411945839.844185,400681659070.73413,1732661812712.729,2024-11-26 22:46:52.845798,ETH,3326.985860552579,3326.985860552579,3326.985860552579,3326.985860552579
825,Tether USDt,USDT,1.0004011426221902,191340581082.88403,132797254838.22043,1732661872712.729,2024-11-26 22:47:52.845798,USDT,1.0004011426221902,1.0004011426221902,1.0004011426221902,1.0004011426221902
5426,Solana,SOL,231.28140567129557,7386128596.612651,109818674127.0596,1732661932712.729,2024-11-26 22:48:52.845798,SOL,231.28140567129557,231.28140567129557,231.28140567129557,231.28140567129557
1839,BNB,BNB,617.8765973040953,2655953450.596457,88980506346.65623,1732661992712.729,2024-11-26 22:49:52.845798,BNB,617.8765973040953,617.8765973040953,617.8765973040953,617.8765973040953
52,XRP,XRP,1.3896527850766083,10069346353.232841,79208613762.87573,1732662052712.729,2024-11-26 22:50:52.845798,XRP,1.3896527850766083,1.3896527850766083,1.3896527850766083,1.3896527850766083
74,Dogecoin,DOGE,0.3877891140806185,10074831540.019226,56987191091.3726,1732662112712.729,2024-11-26 22:51:52.845798,DOGE,0.3877891140806185,0.3877891140806185,0.3877891140806185,0.3877891140806185
3408,USDC,USDC,1.0000003056995457,14311900453.339,38584373554.27938,1732662172712.729,2024-11-26 22:52:52.845798,USDC,1.0000003056995457,1.0000003056995457,1.0000003056995457,1.0000003056995457
2010,Cardano,ADA,0.9317841706625146,3017955887.3977075,32681191298.81622,1732662232712.729,2024-11-26 22:53:52.845798,ADA,0.9317841706625146,0.9317841706625146,0.9317841706625146,0.9317841706625146
5805,Avalanche,AVAX,42.05528933584883,1689998101.1942177,17211146332.29002,1732662292712.729,2024-11-26 22:54:52.845798,AVAX,42.05528933584883,42.05528933584883,42.05528933584883,42.05528933584883
1,Bitcoin,BTC,93701.6682715041,95718528827.43149,1854147528881.1619,1732661752712.729,,BTC,93701.6682715041,93701.6682715041,93701.6682715041,93701.6682715041
1027,Ethereum,ETH,3326.985860552579,44411945839.844185,400681659070.73413,1732661812712.729,,ETH,3326.985860552579,3326.985860552579,3326.985860552579,3326.985860552579
825,Tether USDt,USDT,1.0004011426221902,191340581082.88403,132797254838.22043,1732661872712.729,,USDT,1.0004011426221902,1.0004011426221902,1.0004011426221902,1.0004011426221902
5426,Solana,SOL,231.28140567129557,7386128596.612651,109818674127.0596,1732661932712.729,,SOL,231.28140567129557,231.28140567129557,231.28140567129557,231.28140567129557
1839,BNB,BNB,617.8765973040953,2655953450.596457,88980506346.65623,1732661992712.729,,BNB,617.8765973040953,617.8765973040953,617.8765973040953,617.8765973040953
52,XRP,XRP,1.3896527850766083,10069346353.232841,79208613762.87573,1732662052712.729,,XRP,1.3896527850766083,1.3896527850766083,1.3896527850766083,1.3896527850766083
74,Dogecoin,DOGE,0.3877891140806185,10074831540.019226,56987191091.3726,1732662112712.729,,DOGE,0.3877891140806185,0.3877891140806185,0.3877891140806185,0.3877891140806185
3408,USDC,USDC,1.0000003056995457,14311900453.339,38584373554.27938,1732662172712.729,,USDC,1.0000003056995457,1.0000003056995457,1.0000003056995457,1.0000003056995457
2010,Cardano,ADA,0.9317841706625146,3017955887.3977075,32681191298.81622,1732662232712.729,,ADA,0.9317841706625146,0.9317841706625146,0.9317841706625146,0.9317841706625146
5805,Avalanche,AVAX,42.05528933584883,1689998101.1942177,17211146332.29002,1732662292712.729,,AVAX,42.05528933584883,42.05528933584883,42.05528933584883,42.05528933584883
